complaint_id,complaint_text,title,category,subcategory,department,priority,severity,location_type,affected_citizens,duration_days,emergency_flag,is_crime,resolution_days,latitude,longitude,ward,address
CMP-10001,Misplaced my house keys somewhere on Station Road. Reporting as a minor lost property entry.,Lost Property Report,Police & Law Enforcement,Theft / Burglary,Police & Law Enforcement,LOW,Low,Industrial,16,4,0,1,3.4,22.97154,88.45019,Ward 4,"Bus Terminus, Station Road, Ward 4"
CMP-10002,Someone stole my bicycle yesterday from outside Water Tank #4 parking.,Bicycle Stolen Yesterday,Police & Law Enforcement,Theft / Burglary,Police & Law Enforcement,MEDIUM,Medium,Commercial,23,3,0,1,2.4,22.96915,88.42815,Ward 7,"Water Tank #4, Shanti Nagar Main Road, Ward 7"
CMP-10003,Local goons demanding extortion money and threatening shopkeepers with violence near City Central Station.,Extortion & Intimidation of Traders,Police & Law Enforcement,Extortion / Threat,Police & Law Enforcement,HIGH,High,Public Park,624,5,0,1,1.7,22.99419,88.42226,Ward 14,"City Central Station, Kabi Nazrul Sarani, Ward 14"
CMP-10004,Active armed mob clash on Kalyani Highway near Bus Terminus with crude bombs and firing. Immediate police intervention required!,Active Armed Riot & Public Violence,Police & Law Enforcement,Public Violence / Rioting,Police & Law Enforcement,CRITICAL,Critical,Market,23,2,1,1,0.9,22.96341,88.42236,Ward 11,"Bus Terminus, Kalyani Highway, Ward 11"
CMP-10005,"ব্যাংক ওটিপি চেয়ে একটি সন্দেহজনক মেসেজ পেয়েছি, তবে আমি কোনও তথ্য দিইনি।",সন্দেহজনক ফিশিং মেসেজ,Cyber Crime,Phishing / Scam Calls,Cyber Crime,LOW,Low,Commercial,49,6,0,1,4.4,22.92717,88.39088,Ward 3,"Public Library, Hospital Road, Ward 3"
CMP-10006,मेरी तस्वीर का उपयोग करके सोशल मीडिया पर फर्जी खाता बनाया गया है।,फर्जी सोशल मीडिया प्रोफाइल,Cyber Crime,Account Hacking,Cyber Crime,MEDIUM,Medium,Residential,103,11,0,1,2.7,22.94968,88.44186,Ward 15,"Industrial Park Gate #1, Market Bypass, Ward 15"
CMP-10007,"My bank account was charged ₹25,000 due to an online fraud after clicking a fake electricity bill link.","Fraudulent Online Bank Debit ₹25,000",Cyber Crime,UPI / Payment Fraud,Cyber Crime,HIGH,High,Highway,615,6,0,1,1.6,22.93969,88.47064,Ward 19,"Municipal Market, Bazaar Street, Ward 19"
CMP-10008,Extremist cyber extortionist threatening to release fabricated morphed images within 15 minutes unless ransom paid.,Immediate Life-Threatening Cyber Blackmail,Cyber Crime,Cyber Harassment / Stalking,Cyber Crime,CRITICAL,Critical,Hospital,1364,2,1,1,1.0,22.97669,88.39838,Ward 3,"General Hospital Gate #2, Netaji Subhash Avenue, Ward 3"
CMP-10009,Requesting women safety awareness pamphlet distribution at Children's Park.,Awareness Program Request,Women & Child Safety,Street Harassment / Eve Teasing,Women & Child Safety,LOW,Low,Highway,18,8,0,1,2.5,22.97777,88.40523,Ward 6,"Children's Park, Market Bypass, Ward 6"
CMP-10010,স্কুল ছুটির সময় Public Library-এর সামনে কিছু বখাটে ছেলে দাঁড়িয়ে অযথা ভিড় করছে।,স্কুলের সামনে বখাটেদের উপদ্রব,Women & Child Safety,Street Harassment / Eve Teasing,Women & Child Safety,MEDIUM,Medium,Commercial,186,11,0,1,1.8,22.95998,88.42671,Ward 20,"Public Library, Railway Colony Road, Ward 20"
CMP-10011,Child safety concern reported at private coaching center near Kalyani Stadium; physical abuse suspected.,Child Safety Concern at Coaching Center,Women & Child Safety,Child Abuse / Neglect,Women & Child Safety,HIGH,High,Market,217,9,0,1,1.0,23.02131,88.43366,Ward 9,"Kalyani Stadium, Rabindra Path, Ward 9"
CMP-10012,A child is currently in immediate danger and being dragged into a vehicle on Old Court Road! Save the child now!,Child in Immediate Danger / Abduction,Women & Child Safety,Child Abuse / Neglect,Women & Child Safety,CRITICAL,Critical,Highway,479,1,1,1,0.5,22.99556,88.40348,Ward 13,"General Hospital Gate #2, Old Court Road, Ward 13"
CMP-10013,"Netaji Subhash Avenue-এ স্পিড ব্রেকারের সাদা রঙ ফিকে হয়ে গেছে, পুনরায় রঙের আবেদন।",স্পিড ব্রেকার রঙ ফিকে,Traffic & Road Safety,Missing Road Signage,Traffic & Road Safety,LOW,Low,School,37,6,0,0,4.4,22.92601,88.4008,Ward 16,"Public Library, Netaji Subhash Avenue, Ward 16"
CMP-10014,Kalyani Highway पर अनियंत्रित पार्किंग के कारण वाहनों की आवाजाही धीमी हो रही है।,अव्यवस्थित पार्किंग,Traffic & Road Safety,Illegal / Obstructive Parking,Traffic & Road Safety,MEDIUM,Medium,School,82,7,0,0,2.8,22.99346,88.43828,Ward 18,"Clock Tower Crossing, Kalyani Highway, Ward 18"
